number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_multiplier,params_lr,params_num_heads,params_num_layers,params_seq_len,params_use_top40,params_wd,state
39,-2.4739664012477114,2026-06-27 22:42:01.691611,2026-06-27 22:42:17.011107,0 days 00:00:15.319496,96,0.2743834397326155,4,4.067941878608822e-05,8,3,80,False,1.663315809670419e-06,COMPLETE
40,3.3685670638618075,2026-06-27 22:42:17.011107,2026-06-27 22:42:23.016010,0 days 00:00:06.004903,128,0.12963546591836783,4,9.575334547758585e-05,4,2,60,False,0.009688430071962262,PRUNED
41,-2.4551296044609967,2026-06-27 22:42:23.016010,2026-06-27 22:42:37.876748,0 days 00:00:14.860738,192,0.23246758013999674,4,6.130682693573897e-05,8,3,80,False,1.4962867943069236e-06,COMPLETE
42,-2.4803556513541607,2026-06-27 22:42:37.876748,2026-06-27 22:42:49.508564,0 days 00:00:11.631816,192,0.25325764885566887,4,0.00013813739685603405,8,3,80,False,7.921094770083829e-06,COMPLETE
43,-2.3951497585066006,2026-06-27 22:42:49.508564,2026-06-27 22:43:05.315370,0 days 00:00:15.806806,192,0.298856339697864,4,2.069995293560663e-05,8,3,80,False,3.2305863895836084e-06,COMPLETE
44,-2.3670501450345496,2026-06-27 22:43:05.315370,2026-06-27 22:43:17.024679,0 days 00:00:11.709309,192,0.02735683199543627,2,1.4657415220382895e-05,8,3,80,True,2.103532523250499e-05,COMPLETE
45,-0.4027512620634703,2026-06-27 22:43:17.024679,2026-06-27 22:43:23.957029,0 days 00:00:06.932350,64,0.061567492101524984,4,0.00024574621896923936,8,3,60,False,4.814129833529021e-05,PRUNED
46,0.8677877627565737,2026-06-27 22:43:23.957029,2026-06-27 22:43:38.400189,0 days 00:00:14.443160,96,0.37482430125614186,4,3.673206146349756e-05,8,2,80,True,0.005919677102522802,COMPLETE
47,-2.48849467188565,2026-06-27 22:43:38.400189,2026-06-27 22:43:51.246401,0 days 00:00:12.846212,192,0.1933508270865932,4,0.004150751966583785,4,3,80,False,1.0740910853792884e-06,COMPLETE
48,-2.4943776911931446,2026-06-27 22:43:51.246401,2026-06-27 22:44:01.590085,0 days 00:00:10.343684,160,0.18923501052214048,4,0.004685329427746118,4,3,80,False,1.9492999535417786e-06,COMPLETE
49,-0.6642140617796178,2026-06-27 22:44:01.590085,2026-06-27 22:44:14.638840,0 days 00:00:13.048755,160,0.10151995400708301,2,0.00282214225737737,4,2,20,False,0.0002686044587704986,COMPLETE
